"tube_id","donor_site_id","recipient_site_id","treatment_id","replicate","greenhouse_tray","greenhouse_rack","greenhouse_position","transplant_date","n_seeds_planted","n_seeds_germinated","germinated","first_germination_date","thinning_date","survived_to_harvest","harvest_date","final_dry_biomass_g","health_score","protocol_deviation","notes"
"T0001","VA_D01","VA_R01","VA_D01__VA_R01",1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0002","VA_D01","VA_R01","VA_D01__VA_R01",2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0003","VA_D01","VA_R01","VA_D01__VA_R01",3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0004","VA_D01","VA_R01","VA_D01__VA_R01",4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0005","VA_D01","VA_R01","VA_D01__VA_R01",5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0006","VA_D01","VA_R01","VA_D01__VA_R01",6,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0007","VA_D01","VA_R01","VA_D01__VA_R01",7,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0008","VA_D01","VA_R01","VA_D01__VA_R01",8,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0009","VA_D01","VA_R01","VA_D01__VA_R01",9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0010","VA_D01","VA_R01","VA_D01__VA_R01",10,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0011","VA_D01","VA_R01","VA_D01__VA_R01",11,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0012","VA_D01","VA_R01","VA_D01__VA_R01",12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0013","VA_D01","VA_R01","VA_D01__VA_R01",13,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0014","VA_D01","VA_R01","VA_D01__VA_R01",14,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0015","VA_D01","VA_R01","VA_D01__VA_R01",15,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0016","VA_D01","VA_R01","VA_D01__VA_R01",16,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0017","VA_D01","VA_R01","VA_D01__VA_R01",17,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0018","VA_D01","VA_R01","VA_D01__VA_R01",18,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0019","VA_D01","VA_R01","VA_D01__VA_R01",19,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0020","VA_D01","VA_R01","VA_D01__VA_R01",20,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0021","VA_D01","VA_R01","VA_D01__VA_R01",21,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0022","VA_D01","VA_R01","VA_D01__VA_R01",22,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0023","VA_D01","VA_R01","VA_D01__VA_R01",23,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0024","VA_D01","VA_R01","VA_D01__VA_R01",24,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0025","VA_D01","VA_R01","VA_D01__VA_R01",25,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0026","VA_D01","VA_R01","VA_D01__VA_R01",26,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0027","VA_D01","VA_R01","VA_D01__VA_R01",27,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0028","VA_D01","VA_R01","VA_D01__VA_R01",28,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0029","VA_D01","VA_R01","VA_D01__VA_R01",29,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0030","VA_D01","VA_R01","VA_D01__VA_R01",30,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0031","VA_D01","VA_R01","VA_D01__VA_R01",31,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0032","VA_D01","VA_R01","VA_D01__VA_R01",32,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T0033","VA_D01","VA_R01","VA_D01__VA_R01",33,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
