"tube_id","measurement_timepoint","measurement_date","health_score","notes"
"T0001",0,NA,NA,NA
"T0002",0,NA,NA,NA
"T0003",0,NA,NA,NA
"T0004",0,NA,NA,NA
"T0005",0,NA,NA,NA
"T0006",0,NA,NA,NA
"T0007",0,NA,NA,NA
"T0008",0,NA,NA,NA
"T0009",0,NA,NA,NA
"T0010",0,NA,NA,NA
"T0011",0,NA,NA,NA
"T0012",0,NA,NA,NA
"T0013",0,NA,NA,NA
"T0014",0,NA,NA,NA
"T0015",0,NA,NA,NA
"T0016",0,NA,NA,NA
"T0017",0,NA,NA,NA
"T0018",0,NA,NA,NA
"T0019",0,NA,NA,NA
"T0020",0,NA,NA,NA
"T0021",0,NA,NA,NA
"T0022",0,NA,NA,NA
"T0023",0,NA,NA,NA
"T0024",0,NA,NA,NA
"T0025",0,NA,NA,NA
"T0026",0,NA,NA,NA
"T0027",0,NA,NA,NA
"T0028",0,NA,NA,NA
"T0029",0,NA,NA,NA
"T0030",0,NA,NA,NA
"T0031",0,NA,NA,NA
"T0032",0,NA,NA,NA
"T0033",0,NA,NA,NA
"T0034",0,NA,NA,NA
"T0035",0,NA,NA,NA
"T0036",0,NA,NA,NA
"T0037",0,NA,NA,NA
"T0038",0,NA,NA,NA
"T0039",0,NA,NA,NA
"T0040",0,NA,NA,NA
"T0041",0,NA,NA,NA
"T0042",0,NA,NA,NA
"T0043",0,NA,NA,NA
"T0044",0,NA,NA,NA
"T0045",0,NA,NA,NA
"T0046",0,NA,NA,NA
"T0047",0,NA,NA,NA
"T0048",0,NA,NA,NA
"T0049",0,NA,NA,NA
"T0050",0,NA,NA,NA
"T0051",0,NA,NA,NA
"T0052",0,NA,NA,NA
"T0053",0,NA,NA,NA
"T0054",0,NA,NA,NA
"T0055",0,NA,NA,NA
"T0056",0,NA,NA,NA
"T0057",0,NA,NA,NA
"T0058",0,NA,NA,NA
"T0059",0,NA,NA,NA
"T0060",0,NA,NA,NA
"T0061",0,NA,NA,NA
"T0062",0,NA,NA,NA
"T0063",0,NA,NA,NA
"T0064",0,NA,NA,NA
"T0065",0,NA,NA,NA
"T0066",0,NA,NA,NA
"T0067",0,NA,NA,NA
"T0068",0,NA,NA,NA
"T0069",0,NA,NA,NA
"T0070",0,NA,NA,NA
"T0071",0,NA,NA,NA
"T0072",0,NA,NA,NA
"T0073",0,NA,NA,NA
"T0074",0,NA,NA,NA
"T0075",0,NA,NA,NA
"T0076",0,NA,NA,NA
"T0077",0,NA,NA,NA
"T0078",0,NA,NA,NA
"T0079",0,NA,NA,NA
"T0080",0,NA,NA,NA
"T0081",0,NA,NA,NA
"T0082",0,NA,NA,NA
"T0083",0,NA,NA,NA
"T0084",0,NA,NA,NA
"T0085",0,NA,NA,NA
"T0086",0,NA,NA,NA
"T0087",0,NA,NA,NA
"T0088",0,NA,NA,NA
"T0089",0,NA,NA,NA
"T0090",0,NA,NA,NA
"T0091",0,NA,NA,NA
"T0092",0,NA,NA,NA
"T0093",0,NA,NA,NA
"T0094",0,NA,NA,NA
"T0095",0,NA,NA,NA
"T0096",0,NA,NA,NA
"T0097",0,NA,NA,NA
"T0098",0,NA,NA,NA
"T0099",0,NA,NA,NA
"T0100",0,NA,NA,NA
"T0101",0,NA,NA,NA
"T0102",0,NA,NA,NA
"T0103",0,NA,NA,NA
"T0104",0,NA,NA,NA
"T0105",0,NA,NA,NA
"T0106",0,NA,NA,NA
"T0107",0,NA,NA,NA
"T0108",0,NA,NA,NA
"T0109",0,NA,NA,NA
"T0110",0,NA,NA,NA
"T0111",0,NA,NA,NA
"T0112",0,NA,NA,NA
"T0113",0,NA,NA,NA
"T0114",0,NA,NA,NA
"T0115",0,NA,NA,NA
"T0116",0,NA,NA,NA
"T0117",0,NA,NA,NA
"T0118",0,NA,NA,NA
"T0119",0,NA,NA,NA
"T0120",0,NA,NA,NA
"T0121",0,NA,NA,NA
"T0122",0,NA,NA,NA
"T0123",0,NA,NA,NA
"T0124",0,NA,NA,NA
"T0125",0,NA,NA,NA
"T0126",0,NA,NA,NA
"T0127",0,NA,NA,NA
"T0128",0,NA,NA,NA
"T0129",0,NA,NA,NA
"T0130",0,NA,NA,NA
"T0131",0,NA,NA,NA
"T0132",0,NA,NA,NA
"T0133",0,NA,NA,NA
"T0134",0,NA,NA,NA
"T0135",0,NA,NA,NA
"T0136",0,NA,NA,NA
"T0137",0,NA,NA,NA
"T0138",0,NA,NA,NA
"T0139",0,NA,NA,NA
"T0140",0,NA,NA,NA
"T0141",0,NA,NA,NA
"T0142",0,NA,NA,NA
"T0143",0,NA,NA,NA
"T0144",0,NA,NA,NA
"T0145",0,NA,NA,NA
"T0146",0,NA,NA,NA
"T0147",0,NA,NA,NA
"T0148",0,NA,NA,NA
"T0149",0,NA,NA,NA
"T0150",0,NA,NA,NA
"T0151",0,NA,NA,NA
"T0152",0,NA,NA,NA
"T0153",0,NA,NA,NA
"T0154",0,NA,NA,NA
"T0155",0,NA,NA,NA
"T0156",0,NA,NA,NA
"T0157",0,NA,NA,NA
"T0158",0,NA,NA,NA
"T0159",0,NA,NA,NA
"T0160",0,NA,NA,NA
"T0161",0,NA,NA,NA
"T0162",0,NA,NA,NA
"T0163",0,NA,NA,NA
"T0164",0,NA,NA,NA
"T0165",0,NA,NA,NA
"T0166",0,NA,NA,NA
"T0167",0,NA,NA,NA
"T0168",0,NA,NA,NA
"T0169",0,NA,NA,NA
"T0170",0,NA,NA,NA
"T0171",0,NA,NA,NA
"T0172",0,NA,NA,NA
"T0173",0,NA,NA,NA
"T0174",0,NA,NA,NA
"T0175",0,NA,NA,NA
"T0176",0,NA,NA,NA
"T0177",0,NA,NA,NA
"T0178",0,NA,NA,NA
"T0179",0,NA,NA,NA
"T0180",0,NA,NA,NA
"T0181",0,NA,NA,NA
"T0182",0,NA,NA,NA
"T0183",0,NA,NA,NA
"T0184",0,NA,NA,NA
"T0185",0,NA,NA,NA
"T0186",0,NA,NA,NA
"T0187",0,NA,NA,NA
"T0188",0,NA,NA,NA
"T0189",0,NA,NA,NA
"T0190",0,NA,NA,NA
"T0191",0,NA,NA,NA
"T0192",0,NA,NA,NA
"T0193",0,NA,NA,NA
"T0194",0,NA,NA,NA
"T0195",0,NA,NA,NA
"T0196",0,NA,NA,NA
"T0197",0,NA,NA,NA
"T0198",0,NA,NA,NA
"T0199",0,NA,NA,NA
"T0200",0,NA,NA,NA
"T0201",0,NA,NA,NA
"T0202",0,NA,NA,NA
"T0203",0,NA,NA,NA
"T0204",0,NA,NA,NA
"T0205",0,NA,NA,NA
"T0206",0,NA,NA,NA
"T0207",0,NA,NA,NA
