"sample_id","tube_id","donor_site_id","recipient_site_id","sample_type","sampling_timepoint","source_material","collection_date","collection_time","collector","sample_mass_g","sample_volume_mL","dna_extraction_id","extraction_date","extraction_batch","dna_concentration_ng_uL","storage_location","storage_temperature_C","sequencing_status","protocol_deviation","notes"
"T0001_DON","T0001","VA_D01","VA_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0001_RES","T0001","VA_D01","VA_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0001_FIN","T0001","VA_D01","VA_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0002_DON","T0002","VA_D01","VA_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0002_RES","T0002","VA_D01","VA_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0002_FIN","T0002","VA_D01","VA_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0003_DON","T0003","VA_D01","VA_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0003_RES","T0003","VA_D01","VA_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0003_FIN","T0003","VA_D01","VA_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0004_DON","T0004","VA_D01","VA_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0004_RES","T0004","VA_D01","VA_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0004_FIN","T0004","VA_D01","VA_R01","final","harvest","rhizoplane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0005_DON","T0005","VA_D01","VA_R01","donor","transplant","seed_swab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
"T0005_RES","T0005","VA_D01","VA_R01","recipient","transplant","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"planned",NA,NA
