"library_id","sample_id","marker","sequencing_provider","sequencing_run","library_batch","sequencing_platform","sequencing_instrument","sequencing_chemistry","fwd_filepath","rev_filepath","raw_read_count","qc_status","sra_bioproject","sra_biosample","sra_run_accession","sra_submission_date","notes"
"T0001_DON_16S","T0001_DON","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0001_DON_ITS2","T0001_DON","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0001_REC_16S","T0001_REC","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0001_REC_ITS2","T0001_REC","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0001_FIN_16S","T0001_FIN","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0001_FIN_ITS2","T0001_FIN","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0002_DON_16S","T0002_DON","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0002_DON_ITS2","T0002_DON","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0002_REC_16S","T0002_REC","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0002_REC_ITS2","T0002_REC","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0002_FIN_16S","T0002_FIN","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0002_FIN_ITS2","T0002_FIN","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0003_DON_16S","T0003_DON","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0003_DON_ITS2","T0003_DON","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0003_REC_16S","T0003_REC","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0003_REC_ITS2","T0003_REC","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0003_FIN_16S","T0003_FIN","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0003_FIN_ITS2","T0003_FIN","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0004_DON_16S","T0004_DON","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0004_DON_ITS2","T0004_DON","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0004_REC_16S","T0004_REC","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0004_REC_ITS2","T0004_REC","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0004_FIN_16S","T0004_FIN","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0004_FIN_ITS2","T0004_FIN","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0005_DON_16S","T0005_DON","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0005_DON_ITS2","T0005_DON","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0005_REC_16S","T0005_REC","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0005_REC_ITS2","T0005_REC","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0005_FIN_16S","T0005_FIN","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0005_FIN_ITS2","T0005_FIN","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0006_DON_16S","T0006_DON","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0006_DON_ITS2","T0006_DON","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0006_REC_16S","T0006_REC","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0006_REC_ITS2","T0006_REC","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0006_FIN_16S","T0006_FIN","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0006_FIN_ITS2","T0006_FIN","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0007_DON_16S","T0007_DON","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0007_DON_ITS2","T0007_DON","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0007_REC_16S","T0007_REC","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0007_REC_ITS2","T0007_REC","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0007_FIN_16S","T0007_FIN","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0007_FIN_ITS2","T0007_FIN","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0008_DON_16S","T0008_DON","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0008_DON_ITS2","T0008_DON","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0008_REC_16S","T0008_REC","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0008_REC_ITS2","T0008_REC","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0008_FIN_16S","T0008_FIN","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0008_FIN_ITS2","T0008_FIN","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0009_DON_16S","T0009_DON","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0009_DON_ITS2","T0009_DON","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0009_REC_16S","T0009_REC","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0009_REC_ITS2","T0009_REC","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0009_FIN_16S","T0009_FIN","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0009_FIN_ITS2","T0009_FIN","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0010_DON_16S","T0010_DON","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0010_DON_ITS2","T0010_DON","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0010_REC_16S","T0010_REC","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0010_REC_ITS2","T0010_REC","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0010_FIN_16S","T0010_FIN","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0010_FIN_ITS2","T0010_FIN","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0011_DON_16S","T0011_DON","16S","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
"T0011_DON_ITS2","T0011_DON","ITS2","SeqCoast Genomics",NA,NA,"Illumina",NA,"2x300 bp",NA,NA,NA,"planned",NA,NA,NA,NA,NA
